project_key,source_row_number,mp_name,mp_name_canonical,mp_key,work_raw,work_clean,work_key,category,state,state_key,constituency,constituency_key,ida,ida_key,city,ward,block,village,locality,locality_key,recommended_date,allocation_amount,ida_approval,status,house,duplicate_group_key,exact_duplicate_group_count,is_exact_duplicate_candidate,data_quality_flags,source_dataset,allocation_amount_numeric,recommended_month,recommended_year,mp_allocated_amount,project_amount_as_pct_of_mp_allocation,mp_project_count,mp_total_recommended_amount,ida_project_count,ida_total_recommended_amount,state_project_count,state_total_recommended_amount,constituency_project_count,constituency_total_recommended_amount,mp_remaining_estimated_allocation,same_work_same_locality_count,same_work_same_block_count,same_work_same_constituency_count,same_mp_same_work_count,same_ida_same_work_count,same_mp_same_day_count,same_ida_same_day_count,same_work_same_day_count,locality_project_count,same_ida_locality_7day_sub5l_count,same_mp_locality_7day_sub5l_count,category_median_amount,state_category_median_amount,constituency_category_median_amount,amount_vs_category_median_ratio,amount_vs_state_category_median_ratio,amount_vs_constituency_category_median_ratio,missing_locality_flag,status_unsanctioned_flag,ida_pending_flag,is_sub_5_lakh,is_near_5_lakh,is_high_value_project,possible_text_duplicate,possible_cost_outlier,possible_split_sanction,possible_pending_risk,duplicate_risk_score,cost_risk_score,split_sanction_risk_score,pending_risk_score,risk_score_rule_based,risk_level_rule_based,weak_label_any_risk,weak_label_duplicate,weak_label_cost_outlier,weak_label_split_sanction,weak_label_pending,isolation_forest_raw_score,isolation_forest_risk_score,isolation_forest_anomaly_flag,model_duplicate_score,model_financial_rule_score,model_financial_isolation_score,model_financial_score,model_split_sanction_score,model_pending_score,model_risk_score,model_risk_level,model_reasons,mock_case_type,expected_risk_level,minimum_expected_risk_level,expected_reason
MOCK-NORMAL-011,17,Prajwal Revanna,Prajwal Revanna,prajwal_revanna,NA - Construction of community centers and community halls,Construction of community centers and community halls,construction_of_community_centers_and_community_halls,Normal/Others,Karnataka,karnataka,HASSAN,hassan,DEPUTY COMMISSIONER HASSAN_IDA,deputy_commissioner_hassan_ida,,,Hassan,Gadenahalli,"Hassan, Gadenahalli",hassan_gadenahalli,2024-01-11,150000,Action Pending,Unsanctioned,Lok Sabha,782e017df4107c53,1,false,,MOCK_VALIDATION,150000,2024-01,2024,0.0,0.0,87,29000000,112,46125000,3121,1670831193,87,29000000,-29000000.0,1,37,84,84,100,62,62,78,1,1,1,400000.0,500000.0,300000.0,0.375,0.3,0.5,false,true,true,true,false,false,false,false,false,true,10,0.0,0,35,7.0,GREEN,false,false,false,false,true,-0.188331,54.62,False,3,0,0.0,0.0,0,45,5.4,GREEN,Project is unsanctioned with action pending,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-012,18,Ramakant Bhargava,Ramakant Bhargava,ramakant_bhargava,"WS/MP649/2023-2024/22252 - Construction of roads, approach roads, link roads and pathways","Construction of roads, approach roads, link roads and pathways",construction_of_roads_approach_roads_link_roads_and_pathways,Normal/Others,Madhya Pradesh,madhya_pradesh,VIDISHA,vidisha,DISTRICT COLLECTOR RAISEN_IDA,district_collector_raisen_ida,,,Sanchi,Amrawad,"Sanchi, Amrawad",sanchi_amrawad,2023-09-17,250000,Approved by IDA,Sanctioned,Lok Sabha,2d31855f36309b4b,1,false,,MOCK_VALIDATION,250000,2023-09,2023,0.0,0.0,151,47876128,80,23325096,1999,1177605275,151,47876128,-47876128.0,1,20,38,38,30,21,21,69,1,1,1,400000.0,299000.0,200000.0,0.625,0.8361,1.25,false,false,false,true,false,false,false,false,false,false,10,0.0,0,0,3.5,GREEN,false,false,false,false,false,-0.211273,33.68,False,3,0,0.0,0.0,0,0,0.9,GREEN,No trained baseline threshold crossed,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-013,19,Tirath Singh Rawat,Tirath Singh Rawat,tirath_singh_rawat,NA - Construction of Footpaths/Pedestrian ways,Construction of Footpaths/Pedestrian ways,construction_of_footpaths_pedestrian_ways,Normal/Others,Uttarakhand,uttarakhand,GARHWAL,garhwal,DISTRICT MAGISTRATE PAURI GARHWAL_IDA,district_magistrate_pauri_garhwal_ida,,,Pauri,Bad Gaon Malla,"Pauri, Bad Gaon Malla",pauri_bad_gaon_malla,2023-11-23,150000,Action Pending,Unsanctioned,Lok Sabha,e93e4599a4192c39,1,false,,MOCK_VALIDATION,150000,2023-11,2023,0.0,0.0,324,76900117,140,29350069,1476,323104597,324,76900117,-76900117.0,1,3,9,9,6,48,32,5,1,1,1,400000.0,160173.0,200000.0,0.375,0.9365,0.75,false,true,true,true,false,false,false,false,false,true,10,0.0,0,35,7.0,GREEN,false,false,false,false,true,-0.215426,27.11,False,3,0,0.0,0.0,0,45,5.4,GREEN,Project is unsanctioned with action pending,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-014,21,Hasnain Masoodi,Hasnain Masoodi,hasnain_masoodi,NA - Improvement of electricity distribution infrastructure,Improvement of electricity distribution infrastructure,improvement_of_electricity_distribution_infrastructure,Normal/Others,Jammu And Kashmir,jammu_and_kashmir,ANANTNAG,anantnag,Deputy Commissioner Kulgam_IDA,deputy_commissioner_kulgam_ida,,,Kund,Razloo,"Kund, Razloo",kund_razloo,2023-12-17,300000,Action Pending,Unsanctioned,Lok Sabha,c5c70710baaa6c09,1,false,,MOCK_VALIDATION,300000,2023-12,2023,0.0,0.0,311,88024145,24,10447137,687,241913383,311,88024145,-88024145.0,1,1,58,58,7,7,1,3,1,1,1,400000.0,243000.0,225000.0,0.75,1.2346,1.3333,false,true,true,true,false,false,false,false,false,true,10,1.17,0,35,7.41,GREEN,false,false,false,false,true,-0.21275,31.75,False,3,0,0.0,0.0,0,45,5.4,GREEN,Project is unsanctioned with action pending,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-015,22,Bharti Pravin Pawar,Bharti Pravin Pawar,bharti_pravin_pawar,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of roads, link roads, pathways or any other road with or without drainage system",construction_of_roads_link_roads_pathways_or_any_other_road_with_or_without_drainage_system,Normal/Others,Maharashtra,maharashtra,DINDORI(ST),dindori_st,DISTRICT COLLECTOR NASHIK_IDA,district_collector_nashik_ida,,,Yevla,Mamdapur,"Yevla, Mamdapur",yevla_mamdapur,2024-03-03,500000,Action Pending,Unsanctioned,Lok Sabha,5b8efd4ff5bafdf6,1,false,,MOCK_VALIDATION,500000,2024-03,2024,0.0,0.0,19,19312000,34,29391709,633,508290495,19,19312000,-19312000.0,1,3,14,14,16,19,19,68,1,0,0,400000.0,796000.0,995000.0,1.25,0.6281,0.5025,false,true,true,false,true,false,false,false,false,true,10,0.0,0,35,7.0,GREEN,false,false,false,false,true,-0.21381,30.01,False,3,0,0.0,0.0,20,45,10.4,GREEN,Project is unsanctioned with action pending,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-016,23,Ashwini Kumar Choubey,Ashwini Kumar Choubey,ashwini_kumar_choubey,NA - Construction of community centers and community halls,Construction of community centers and community halls,construction_of_community_centers_and_community_halls,Normal/Others,Bihar,bihar,BUXAR,buxar,DISTRICT PLANNING OFFICER BUXAR_IDA,district_planning_officer_buxar_ida,,,Dumraon,Kuransarae,"Dumraon, Kuransarae",dumraon_kuransarae,2023-12-20,700000,Action Pending,Unsanctioned,Lok Sabha,a5e7d19eb08e7787,1,false,,MOCK_VALIDATION,700000,2023-12,2023,0.0,0.0,59,47295400,53,46795400,4575,3315478980,59,47295400,-47295400.0,1,2,15,15,12,17,12,28,2,0,0,400000.0,500000.0,700000.0,1.75,1.4,1.0,false,true,true,false,false,false,false,false,false,true,10,2.0,0,35,7.7,GREEN,false,false,false,false,true,-0.223892,12.0,False,3,0,0.0,0.0,0,45,5.4,GREEN,Project is unsanctioned with action pending,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-017,24,Dr Amee Yajnik Harshadray,Amee Yajnik Harshadray,amee_yajnik_harshadray,"WS/MP060/2023-2024/35782 - Construction of roads, approach roads, link roads and pathways","Construction of roads, approach roads, link roads and pathways",construction_of_roads_approach_roads_link_roads_and_pathways,Normal/Others,Gujarat,gujarat,SITTING RAJYA SABHA,sitting_rajya_sabha,DISTRICT COLLECTOR SURAT_IDA,district_collector_surat_ida,,,Mangrol,Luvara,"Mangrol, Luvara",mangrol_luvara,2023-10-11,300000,Approved by IDA,Unsanctioned,Rajya Sabha,6f8658af5b5ce104,1,false,,MOCK_VALIDATION,300000,2023-10,2023,0.0,0.0,135,81474000,33,24465000,1406,785374370,10723,8317795158,-81474000.0,2,3,1947,52,5,19,2,65,2,2,2,400000.0,400000.0,490000.0,0.75,0.75,0.6122,false,true,false,true,false,false,true,false,false,false,82,0.0,0,0,28.7,GREEN,false,true,false,false,false,-0.124941,82.61,False,71,0,0.0,0.0,0,0,21.3,GREEN,Repeated work appears in same locality or exact duplicate group,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-018,26,Pocha Brahmananda Reddy,Pocha Brahmananda Reddy,pocha_brahmananda_reddy,"WS/MP408/2023-2024/53634 - Construction of roads, approach roads, link roads and pathways","Construction of roads, approach roads, link roads and pathways",construction_of_roads_approach_roads_link_roads_and_pathways,Normal/Others,Andhra Pradesh,andhra_pradesh,NANDYAL,nandyal,DISTRICT COLLECTOR NANDYAL_IDA,district_collector_nandyal_ida,,,Koilakuntla,Bheemunipadu,"Koilakuntla, Bheemunipadu",koilakuntla_bheemunipadu,2023-11-28,494000,Approved by IDA,Unsanctioned,Lok Sabha,c82909351a331d44,1,false,,MOCK_VALIDATION,494000,2023-11,2023,0.0,0.0,127,77082000,143,85882000,3131,2344937649,127,77082000,-77082000.0,1,1,76,76,87,32,32,68,1,1,1,400000.0,500000.0,500000.0,1.235,0.988,0.988,false,true,false,true,true,false,false,false,false,false,10,0.0,0,0,3.5,GREEN,false,false,false,false,false,-0.224308,11.28,False,3,0,0.0,0.0,20,0,5.9,GREEN,No trained baseline threshold crossed,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-019,27,Bhagirath Chaudhary,Bhagirath Chaudhary,bhagirath_chaudhary,NA - Installing tube-wells and borewells,Installing tube-wells and borewells,installing_tube_wells_and_borewells,Normal/Others,Rajasthan,rajasthan,AJMER,ajmer,DISTRICT COLLECTOR AJMER_IDA,district_collector_ajmer_ida,,,Kishangarh Silora,Naya Gaon,"Kishangarh Silora, Naya Gaon",kishangarh_silora_naya_gaon,2023-09-28,200000,Action Pending,Unsanctioned,Lok Sabha,12c52e2f4d1c193f,1,false,,MOCK_VALIDATION,200000,2023-09,2023,147000000.0,0.0014,185,76065388,176,82940388,3054,1880102127,185,76065388,70934612.0,1,2,3,3,3,29,28,3,1,1,1,400000.0,500000.0,500000.0,0.5,0.4,0.4,false,true,true,true,false,false,false,false,false,true,10,0.0,0,35,7.0,GREEN,false,false,false,false,true,-0.215969,26.22,False,3,0,0.0,0.0,0,45,5.4,GREEN,Project is unsanctioned with action pending,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-020,29,Kishan Kapoor,Kishan Kapoor,kishan_kapoor,NA - Construction of footpaths and pedestrian ways,Construction of footpaths and pedestrian ways,construction_of_footpaths_and_pedestrian_ways,Normal/Others,Himachal Pradesh,himachal_pradesh,KANGRA,kangra,DEPUTY COMMISSIONER KANGRA_IDA,deputy_commissioner_kangra_ida,,,Jawali,Harsar Khas (67),"Jawali, Harsar Khas (67)",jawali_harsar_khas_67,2024-01-22,400000,Action Pending,Unsanctioned,Lok Sabha,aa50af0cdddc2cd0,1,false,,MOCK_VALIDATION,400000,2024-01,2024,0.0,0.0,81,26795000,104,34095000,990,219138227,81,26795000,-26795000.0,1,1,11,11,16,24,20,3,1,1,1,400000.0,200000.0,200000.0,1.0,2.0,2.0,false,true,true,true,false,false,false,false,false,true,10,5.0,0,35,8.75,GREEN,false,false,false,false,true,-0.210904,34.1,False,3,0,0.0,0.0,0,45,5.4,GREEN,Project is unsanctioned with action pending,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-021,30,Vincent H Pala,Vincent H Pala,vincent_h_pala,NA - Construction of boundary walls of existing public and community buildings,Construction of boundary walls of existing public and community buildings,construction_of_boundary_walls_of_existing_public_and_community_buildings,Normal/Others,Meghalaya,meghalaya,SHILLONG,shillong,DEPUTY COMMISSIONER EAST JAINTIA HILLS KHLIEHRIAT_IDA,deputy_commissioner_east_jaintia_hills_khliehriat_ida,,,Saipung,Thuruk,"Saipung, Thuruk",saipung_thuruk,2024-02-14,50000,Action Pending,Unsanctioned,Lok Sabha,7e06a428a6036da1,1,false,,MOCK_VALIDATION,50000,2024-02,2024,0.0,0.0,116,35900000,58,23000000,215,71200000,116,35900000,-35900000.0,1,3,10,10,5,22,22,3,1,1,1,400000.0,200000.0,200000.0,0.125,0.25,0.25,false,true,true,true,false,false,false,false,false,true,10,0.0,0,35,7.0,GREEN,false,false,false,false,true,-0.208965,36.23,False,3,0,0.0,0.0,0,45,5.4,GREEN,Project is unsanctioned with action pending,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-022,32,Ramesh Chander Kaushik,Ramesh Chander Kaushik,ramesh_chander_kaushik,WS/MP592/2023-2024/15328 - Setting up public non-conventional energy plants,Setting up public non-conventional energy plants,setting_up_public_non_conventional_energy_plants,Normal/Others,Haryana,haryana,SONEPAT,sonepat,DEPUTY COMMISSIONER SONEPAT_IDA,deputy_commissioner_sonepat_ida,,,Kharkhoda,Khanda (9R),"Kharkhoda, Khanda (9R)",kharkhoda_khanda_9r,2023-09-02,297770,Approved by IDA,Unsanctioned,Lok Sabha,bfd91a85a2ff7d48,1,false,,MOCK_VALIDATION,297770,2023-09,2023,0.0,0.0,131,80726721,104,74832918,1519,825501755,131,80726721,-80726721.0,1,2,61,61,39,57,33,55,1,1,1,400000.0,500000.0,392564.0,0.7444,0.5955,0.7585,false,true,false,true,false,false,false,false,false,false,10,0.0,0,0,3.5,GREEN,false,false,false,false,false,-0.229163,4.1,False,3,0,0.0,0.0,0,0,0.9,GREEN,No trained baseline threshold crossed,normal,GREEN,GREEN,No planted anomaly
MOCK-NORMAL-023,34,Mala Rajya Laxmi Shah,Mala Rajya Laxmi Shah,mala_rajya_laxmi_shah,NA - Construction of footpaths and pedestrian ways,Construction of footpaths and pedestrian ways,construction_of_footpaths_and_pedestrian_ways,Normal/Others,Uttarakhand,uttarakhand,TEHRI GARHWAL,tehri_garhwal,DISTRICT MAGISTRATE TEHRI GARHWAL_IDA,district_magistrate_tehri_garhwal_ida,,,Tehri,Chopariyal Gaon,"Tehri, Chopariyal Gaon",tehri_chopariyal_gaon,2024-02-25,150000,Action Pending,Unsanctioned,Lok Sabha,1d474d83f0f96dec,1,false,,MOCK_VALIDATION,150000,2024-02,2024,147000000.0,0.001,171,18110003,109,31099000,1476,323104597,171,18110003,128889997.0,1,11,76,76,36,171,51,78,1,1,1,400000.0,160173.0,80000.0,0.375,0.9365,1.875,false,true,true,true,false,false,false,false,false,true,10,0.0,0,35,7.0,GREEN,false,false,false,false,true,-0.211859,32.83,False,3,0,0.0,0.0,0,45,5.4,GREEN,Project is unsanctioned with action pending,normal,GREEN,GREEN,No planted anomaly
